,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
212,kevin love,MIA,34,0.197,0.064,0.164,38.8,0.038,0.114,33.3,0.032,0.036,88.8,0.023,0.132,0.155,0.045,0.027,0.006,0.004,0.038,0.456,6,0,0.032,0.6,0.9,62.3,0.2,0.5,45.2,0.1,0.3,35.3,0.1,0.2,42.9,0.6,1.4,40.7,1.0,3.4,30.7,8.3,37.9,20.2,1.1,1.81,0.46,0.218,0.5,1.5,1.8,0.222,0.379,0.689
213,nikola jovic,MIA,19,0.194,0.066,0.164,40.6,0.019,0.083,22.9,0.043,0.045,94.7,0.021,0.052,0.073,0.024,0.024,0.017,0.005,0.045,0.358,0,0,-0.038,1.1,1.4,75.0,0.1,0.4,20.0,0.2,0.4,40.0,0.1,0.1,100,0.3,1.2,25.0,0.4,1.8,23.8,5.5,23.2,13.3,0.7,1.82,0.8,0.236,1.3,0.0,1.7,0.947,0.0,0.885
214,domantas sabonis,SAC,26,0.263,0.1,0.163,61.4,0.005,0.014,36.3,0.058,0.077,74.9,0.043,0.126,0.17,0.098,0.04,0.012,0.007,0.049,0.629,63,12,0.039,5.7,8.2,69.2,0.7,1.5,48.7,0.2,0.4,48.1,0.3,0.7,42.0,0.2,0.5,43.2,0.3,0.7,36.4,19.1,83.4,48.0,3.4,2.44,1.41,0.229,8.6,4.5,9.7,0.608,0.469,0.857
215,coby white,CHI,23,0.194,0.071,0.162,43.8,0.036,0.096,37.5,0.017,0.02,86.6,0.005,0.052,0.057,0.055,0.019,0.015,0.002,0.035,0.378,0,0,0.037,1.1,1.8,63.5,0.1,0.5,30.3,0.2,0.5,51.5,0.1,0.3,39.1,0.7,1.6,41.1,1.1,3.1,35.3,9.4,37.7,18.5,2.1,3.28,2.59,0.248,0.1,0.0,0.2,0.5,0.0,0.538
216,jalen williams,OKC,21,0.215,0.084,0.161,52.3,0.015,0.042,35.4,0.032,0.039,80.9,0.017,0.052,0.07,0.051,0.025,0.021,0.007,0.039,0.436,3,0,-0.012,3.5,5.2,67.3,0.6,1.4,41.3,0.3,0.6,44.7,0.2,0.4,35.5,0.4,1.0,38.4,0.6,1.8,35.6,14.1,46.5,22.2,2.7,3.43,2.95,0.304,0.8,0.0,2.3,1.017,0.0,1.037
217,josh minott,MIN,20,0.218,0.085,0.161,52.9,0.009,0.028,33.3,0.038,0.038,100.0,0.024,0.095,0.118,0.019,0.014,0.019,0.028,0.047,0.517,1,0,0.142,1.2,1.9,60.0,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,25.0,0.1,0.1,50.0,3.3,7.6,4.4,0.2,1.76,0.99,0.434,0.1,0.0,0.9,2.0,0.0,1.385
218,boban marjanovic,HOU,34,0.277,0.107,0.16,66.7,0.0,0.003,0.0,0.063,0.082,76.9,0.05,0.113,0.164,0.025,0.041,0.013,0.003,0.025,0.517,0,0,0.164,0.8,1.0,75.9,0.3,0.6,53.3,0.1,0.2,60.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,3.1,6.7,4.3,0.2,2.1,0.89,0.46,0.6,1.4,1.5,0.882,0.925,1.302
219,buddy boeheim,DET,23,0.107,0.033,0.16,20.8,0.027,0.147,18.2,0.013,0.013,100.0,0.013,0.02,0.033,0.02,0.0,0.013,0.0,0.033,0.217,0,0,0.08,0.0,0.0,0.0,0.1,0.1,100,0.0,0.1,0.0,0.0,0.0,0.0,0.5,1.4,36.4,0.0,1.4,0.0,2.0,9.6,6.1,0.2,1.25,0.36,0.209,0.0,0.0,0.1,0.0,0.0,2.0
220,jaesean tate,HOU,27,0.198,0.077,0.16,48.0,0.009,0.032,28.3,0.035,0.048,72.5,0.029,0.054,0.082,0.059,0.033,0.015,0.005,0.074,0.41,0,0,-0.066,2.4,4.5,52.9,0.6,1.0,63.3,0.1,0.3,30.0,0.0,0.1,50.0,0.2,0.7,27.3,0.2,0.8,29.2,9.1,40.9,21.6,2.4,3.52,2.58,0.223,0.6,1.2,2.3,0.4,0.649,0.7
221,jock landale,PHX,27,0.217,0.083,0.16,52.3,0.01,0.042,24.4,0.04,0.052,76.5,0.058,0.076,0.134,0.032,0.029,0.008,0.015,0.063,0.468,2,0,0.074,1.6,2.4,69.0,0.4,0.8,48.1,0.1,0.2,42.9,0.0,0.1,50.0,0.1,0.3,42.1,0.2,1.0,20.6,6.5,23.3,15.2,0.6,1.49,0.47,0.279,2.2,1.3,5.0,0.45,0.805,0.864
