,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
46,devin vassell,SAS,22,0.276,0.103,0.234,43.9,0.04,0.104,38.7,0.031,0.039,78.0,0.003,0.055,0.058,0.053,0.022,0.017,0.007,0.022,0.474,0,0,-0.116,1.6,2.7,59.8,0.2,0.8,30.0,0.8,2.2,35.4,1.3,2.7,50.5,1.0,2.3,45.3,1.8,4.8,38.0,18.5,53.2,32.7,3.0,3.41,2.51,0.348,0.5,0.0,0.6,1.15,0.0,0.905
47,dejounte murray,ATL,26,0.267,0.107,0.233,46.0,0.024,0.069,34.8,0.028,0.034,82.6,0.009,0.06,0.069,0.079,0.028,0.02,0.003,0.019,0.51,8,1,-0.014,2.2,3.5,63.8,0.9,2.2,42.2,1.7,3.5,48.2,1.6,3.3,46.6,0.9,2.3,38.5,1.1,3.3,32.5,20.5,72.7,28.7,5.9,4.88,4.41,0.282,0.5,0.1,1.1,0.324,0.3,0.718
48,anfernee simons,POR,23,0.291,0.104,0.233,44.7,0.047,0.125,37.7,0.036,0.04,89.4,0.004,0.032,0.036,0.056,0.029,0.009,0.003,0.032,0.428,0,0,-0.017,2.2,3.5,61.9,0.5,1.4,38.8,0.7,1.3,54.4,0.6,1.3,48.7,0.8,2.2,38.8,2.5,6.9,36.4,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842
49,kristaps porzingis,WAS,27,0.343,0.116,0.232,49.8,0.031,0.081,38.5,0.081,0.095,85.1,0.026,0.098,0.124,0.04,0.031,0.013,0.023,0.045,0.629,20,0,0.018,2.7,3.9,68.0,1.2,2.2,52.1,1.0,2.1,48.5,0.8,1.7,44.2,0.3,0.6,45.2,1.8,4.8,38.3,23.2,60.2,40.0,1.8,1.81,0.68,0.385,3.8,4.0,4.7,0.759,0.904,1.076
50,zion williamson,NOP,22,0.371,0.14,0.231,60.8,0.003,0.009,36.8,0.087,0.122,71.4,0.029,0.071,0.099,0.065,0.049,0.016,0.008,0.032,0.611,5,0,0.073,8.7,12.9,67.4,0.7,2.1,33.3,0.2,0.4,45.5,0.0,0.1,25.0,0.1,0.1,75.0,0.1,0.5,26.7,26.0,66.0,35.7,3.9,3.51,2.94,0.394,1.8,4.1,4.5,1.0,0.664,1.16
51,brandon boston jr,LAC,21,0.273,0.097,0.231,42.1,0.023,0.055,41.4,0.055,0.073,76.3,0.013,0.042,0.055,0.036,0.023,0.017,0.0,0.04,0.422,0,0,-0.08,1.1,2.0,56.1,0.1,0.7,14.3,0.4,0.9,41.2,0.3,0.9,35.7,0.2,0.8,28.6,0.5,1.1,47.6,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
52,khris middleton,MIL,31,0.283,0.101,0.231,44.0,0.028,0.091,31.4,0.052,0.058,89.8,0.017,0.064,0.081,0.091,0.041,0.014,0.003,0.039,0.526,4,0,0.069,1.4,2.3,62.9,0.8,1.5,52.2,0.7,1.8,40.0,0.9,1.8,49.1,0.7,1.7,38.9,1.1,3.5,30.3,15.4,49.7,25.7,3.2,3.92,3.15,0.31,0.8,1.8,1.4,0.56,0.596,0.714
53,rj barrett,NYK,22,0.28,0.1,0.23,43.3,0.024,0.076,31.7,0.057,0.076,74.3,0.012,0.061,0.073,0.039,0.033,0.006,0.003,0.035,0.42,3,0,-0.011,3.7,6.5,57.4,1.1,2.9,38.7,0.3,0.9,32.8,0.1,0.4,29.6,0.8,2.6,32.8,0.9,2.8,30.8,19.5,50.3,33.1,2.6,3.07,2.39,0.388,1.1,1.0,1.5,0.84,0.507,1.028
54,ron harper jr,TOR,22,0.286,0.114,0.229,50.0,0.057,0.143,40.0,0.0,0.0,0.0,0.057,0.029,0.086,0.0,0.0,0.0,0.0,0.0,0.389,0,0,0.143,0.2,0.2,100.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,0.5,33.3,2.0,3.8,3.2,0.1,2.0,1.37,0.526,0.0,0.0,0.2,0.0,0.0,2.0
55,xavier moon,LAC,28,0.143,0.057,0.229,25.0,0.029,0.086,33.3,0.0,0.0,0.0,0.0,0.086,0.086,0.143,0.029,0.0,0.0,0.029,0.431,0,0,0.143,0.0,0.0,0.0,0.3,0.3,100,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.3,0.7,50.0,1.7,14.0,6.0,1.0,4.36,4.16,0.119,0.0,0.0,0.0,0.0,0.0,0.0
56,jaylen nowell,MIN,23,0.257,0.102,0.228,44.8,0.024,0.085,28.9,0.028,0.036,77.8,0.013,0.049,0.062,0.048,0.024,0.015,0.002,0.037,0.432,0,0,-0.003,1.9,3.2,59.1,0.6,1.2,46.9,0.6,1.1,53.4,0.2,0.5,41.4,0.4,1.3,30.6,0.6,2.2,29.6,10.8,33.2,18.6,1.8,3.27,2.93,0.326,0.2,0.0,0.7,1.438,0.0,1.085
57,darius garland,CLE,23,0.303,0.106,0.227,46.5,0.035,0.084,41.0,0.057,0.066,86.1,0.006,0.032,0.037,0.109,0.04,0.017,0.002,0.03,0.527,17,0,0.088,2.1,3.7,56.0,1.3,2.8,47.3,1.0,1.9,52.8,0.5,1.4,35.4,0.7,1.6,41.5,1.9,4.5,41.1,21.7,76.4,29.1,7.3,5.72,5.39,0.284,0.6,0.0,0.6,0.703,0.667,0.757
58,darius days,HOU,23,0.283,0.094,0.226,41.7,0.057,0.189,30.0,0.038,0.038,100.0,0.019,0.094,0.113,0.019,0.0,0.0,0.019,0.038,0.504,0,0,0.019,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,33.3,0.3,1.0,25.0,3.8,10.8,5.5,0.2,1.19,0.14,0.349,0.0,0.0,0.0,0.0,0.0,0.0
59,lindell wigginton,MIL,25,0.2,0.075,0.225,33.3,0.0,0.1,0.0,0.05,0.05,100.0,0.0,0.025,0.025,0.05,0.05,0.0,0.0,0.05,0.255,0,0,-0.05,0.4,0.8,50.0,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,1.6,6.8,3.2,0.5,4.69,4.44,0.235,0.2,0.0,0.2,0.0,0.0,0.0
60,tyrese maxey,PHI,22,0.299,0.108,0.225,48.1,0.039,0.09,42.7,0.044,0.052,84.1,0.006,0.037,0.042,0.053,0.019,0.012,0.002,0.032,0.452,0,0,0.06,2.7,4.7,57.3,0.9,2.0,45.6,0.7,1.3,50.0,0.4,1.0,42.4,0.8,1.7,44.4,1.8,4.3,42.1,20.4,68.5,30.1,5.1,4.43,3.84,0.298,0.2,0.0,0.3,0.923,0.0,0.65
61,cam thomas,BKN,21,0.294,0.098,0.224,43.5,0.024,0.065,36.3,0.075,0.088,86.1,0.004,0.045,0.049,0.041,0.031,0.01,0.003,0.028,0.423,0,0,0.006,0.9,1.4,64.5,0.6,1.3,44.3,0.6,1.7,34.9,0.4,0.9,46.9,0.4,0.9,48.9,0.5,1.8,30.1,10.3,28.9,13.6,2.3,4.83,4.28,0.356,0.4,0.0,0.2,0.947,0.0,1.231
62,patrick baldwin jr,GSW,20,0.251,0.088,0.222,39.6,0.066,0.171,38.5,0.009,0.013,66.7,0.002,0.077,0.079,0.02,0.024,0.013,0.009,0.031,0.417,0,0,-0.121,0.3,0.5,66.7,0.0,0.1,33.3,0.0,0.2,0.0,0.1,0.2,25.0,0.3,0.8,31.8,0.9,2.2,41.1,4.1,12.0,8.1,0.3,1.62,0.57,0.338,0.1,0.1,0.3,0.0,0.0,0.5
63,cameron payne,PHX,28,0.241,0.092,0.221,41.6,0.034,0.091,37.2,0.024,0.031,75.8,0.006,0.046,0.053,0.105,0.04,0.016,0.004,0.043,0.482,3,0,0.034,1.0,2.0,53.3,0.7,1.8,36.6,0.5,1.1,46.0,0.3,0.6,44.8,0.3,1.0,31.8,1.2,3.0,38.7,10.5,51.0,17.8,4.3,5.03,4.43,0.206,0.0,0.0,0.2,0.0,0.0,0.8
64,bojan bogdanovic,DET,33,0.319,0.108,0.221,48.8,0.036,0.089,41.1,0.067,0.076,88.4,0.009,0.047,0.056,0.038,0.034,0.009,0.002,0.028,0.441,0,0,-0.083,2.1,3.3,64.0,0.9,2.0,44.5,1.2,2.1,57.1,0.5,1.3,38.0,0.9,2.4,39.2,1.6,3.6,42.8,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
65,paolo banchero,ORL,20,0.282,0.094,0.22,42.7,0.017,0.056,29.5,0.078,0.105,73.9,0.016,0.081,0.097,0.053,0.039,0.012,0.008,0.031,0.498,13,0,-0.041,3.4,5.6,59.6,0.6,2.1,31.1,0.5,1.5,37.1,0.7,2.0,36.4,0.4,1.2,36.9,0.9,3.1,29.3,20.0,64.8,30.8,3.9,3.65,2.81,0.309,1.1,2.0,2.4,0.805,0.414,0.994
66,josh giddey,OKC,20,0.248,0.106,0.22,48.3,0.015,0.045,32.6,0.021,0.028,73.6,0.029,0.089,0.118,0.092,0.042,0.011,0.006,0.028,0.538,28,4,-0.022,3.9,6.5,60.0,1.6,3.6,43.4,0.6,1.3,45.2,0.1,0.2,25.0,0.3,1.0,32.0,0.7,2.1,32.3,16.6,76.7,36.5,4.5,3.49,2.81,0.216,1.2,0.3,2.9,0.725,0.0,0.84
67,derrick rose,NYK,34,0.209,0.084,0.218,38.4,0.026,0.086,30.2,0.015,0.016,91.7,0.011,0.044,0.055,0.063,0.03,0.01,0.007,0.025,0.388,0,0,-0.04,0.8,1.7,48.9,0.4,1.0,38.5,0.3,0.5,58.3,0.1,0.4,27.3,0.3,1.0,34.6,0.4,1.4,26.3,5.6,26.9,10.7,1.9,4.25,3.86,0.21,0.2,0.0,0.4,0.667,0.0,1.0
68,christian wood,DAL,27,0.317,0.113,0.217,51.9,0.029,0.078,37.5,0.062,0.081,77.1,0.025,0.116,0.141,0.035,0.035,0.008,0.02,0.048,0.589,12,0,-0.012,3.1,4.5,67.3,0.8,1.3,58.1,0.3,0.6,42.9,0.2,0.6,38.5,0.5,1.6,30.1,1.1,2.7,42.1,16.6,46.0,26.1,1.7,2.27,1.04,0.362,2.2,2.0,4.2,0.66,0.734,1.026
69,jrue holiday,MIL,32,0.273,0.103,0.217,47.5,0.033,0.088,38.2,0.033,0.039,86.2,0.016,0.055,0.071,0.104,0.041,0.016,0.006,0.025,0.539,14,0,0.095,2.6,4.0,65.4,1.0,2.2,44.3,0.5,1.2,44.3,0.6,1.2,51.9,0.7,1.8,37.9,1.8,4.6,38.2,19.2,73.2,25.4,6.1,4.99,4.52,0.262,0.9,0.9,2.4,0.417,0.649,0.671
70,jd davison,BOS,20,0.183,0.083,0.217,38.5,0.017,0.067,25.0,0.0,0.0,0.0,0.017,0.083,0.1,0.1,0.033,0.033,0.0,0.067,0.52,0,0,0.1,0.3,0.4,66.7,0.0,0.2,0.0,0.2,0.7,25.0,0.2,0.2,100,0.0,0.0,0.0,0.1,0.4,25.0,1.1,5.2,2.2,0.4,4.96,4.04,0.212,0.1,0.0,0.1,2.0,0.0,2.0
71,jaden hardy,DAL,20,0.279,0.095,0.217,43.8,0.043,0.103,41.8,0.046,0.056,81.8,0.007,0.052,0.058,0.043,0.033,0.012,0.004,0.046,0.431,0,0,-0.009,1.2,2.6,47.8,0.1,0.2,62.5,0.1,0.3,36.4,0.1,0.4,22.2,0.7,1.4,46.8,0.8,2.0,41.0,8.6,25.0,12.3,1.6,3.95,3.61,0.345,0.2,0.0,0.2,0.25,0.0,0.75
72,fred vanvleet,TOR,29,0.26,0.086,0.215,39.7,0.04,0.117,34.5,0.049,0.054,89.7,0.006,0.049,0.055,0.095,0.027,0.023,0.007,0.037,0.532,10,1,0.038,1.7,3.2,52.6,0.4,1.1,33.8,0.5,1.2,40.7,0.7,1.5,44.1,1.0,2.3,42.3,2.2,6.3,34.5,19.7,84.8,37.2,6.5,4.56,4.18,0.232,0.2,0.0,0.2,0.545,1.0,0.857
73,talen horton tucker,UTA,22,0.245,0.091,0.215,42.2,0.021,0.072,29.1,0.043,0.056,75.5,0.014,0.061,0.075,0.087,0.045,0.014,0.01,0.039,0.494,2,0,-0.002,2.0,3.7,54.9,0.6,1.4,44.6,0.2,0.6,35.0,0.1,0.3,30.0,0.3,1.0,33.3,0.6,2.1,27.7,10.2,44.2,16.4,3.7,5.05,4.38,0.231,0.2,0.1,0.6,0.636,0.0,0.4
74,deandre ayton,PHX,24,0.288,0.126,0.214,58.6,0.002,0.006,29.2,0.035,0.047,74.9,0.041,0.12,0.161,0.028,0.029,0.009,0.012,0.045,0.557,35,0,-0.003,4.2,5.4,78.0,1.6,3.4,47.8,1.1,2.5,43.1,0.8,1.7,48.1,0.0,0.1,16.7,0.1,0.3,33.3,18.0,52.2,28.1,1.4,1.64,0.47,0.344,5.4,4.1,11.1,0.812,0.715,0.999
75,michael porter jr,DEN,24,0.283,0.104,0.214,48.8,0.049,0.118,41.5,0.025,0.031,80.4,0.016,0.073,0.089,0.017,0.018,0.01,0.008,0.032,0.453,2,0,0.124,2.2,3.0,71.9,0.2,0.5,32.3,0.3,0.6,44.7,0.5,1.1,41.8,1.4,2.7,50.9,1.8,4.9,37.8,17.2,36.2,22.9,1.2,1.96,0.99,0.474,1.5,0.2,2.1,0.789,0.667,1.146
76,malik monk,SAC,25,0.28,0.096,0.214,44.9,0.039,0.107,36.1,0.05,0.056,89.1,0.009,0.046,0.055,0.08,0.039,0.013,0.006,0.034,0.483,0,0,0.015,2.0,3.2,60.8,0.4,0.9,44.1,0.2,0.6,33.3,0.2,0.3,54.2,0.6,1.6,39.3,1.2,3.5,35.2,13.6,40.4,25.2,1.9,2.87,2.4,0.337,0.3,0.0,0.9,0.435,0.0,0.821
77,russell westbrook,LAC,34,0.248,0.092,0.213,43.2,0.019,0.062,30.2,0.045,0.068,65.7,0.018,0.074,0.092,0.12,0.056,0.017,0.007,0.036,0.553,23,4,-0.008,3.4,6.2,55.2,0.4,1.1,36.5,0.5,1.1,43.2,0.4,1.2,31.7,0.4,1.5,28.8,0.8,2.5,30.5,15.7,64.0,23.8,5.4,5.07,4.69,0.245,0.6,1.0,1.6,0.605,0.586,0.774
78,naz reid,MIN,23,0.288,0.114,0.213,53.7,0.028,0.08,34.6,0.032,0.047,67.7,0.027,0.096,0.123,0.028,0.034,0.015,0.02,0.065,0.549,4,0,-0.047,2.9,4.0,72.3,0.5,1.1,44.6,0.1,0.2,38.5,0.0,0.0,0.0,0.3,1.0,27.9,0.8,2.2,38.0,11.5,36.2,21.0,1.0,1.66,0.78,0.317,1.9,1.1,2.7,0.73,0.514,0.984
79,malik beasley,LAL,26,0.23,0.083,0.212,39.2,0.053,0.149,35.7,0.01,0.013,78.6,0.007,0.056,0.064,0.028,0.021,0.015,0.002,0.024,0.377,1,0,-0.016,0.5,0.9,61.2,0.5,1.1,51.2,0.3,0.7,37.5,0.2,0.6,34.8,1.1,2.9,36.9,2.0,5.5,35.9,12.7,34.9,21.5,1.4,2.33,1.67,0.365,0.3,0.0,0.4,0.947,0.0,0.815
80,bam adebayo,MIA,25,0.291,0.114,0.212,53.9,0.0,0.002,8.3,0.062,0.077,80.3,0.034,0.097,0.131,0.046,0.036,0.017,0.012,0.04,0.566,31,0,0.02,4.0,6.1,65.4,1.9,4.1,46.8,1.8,3.6,48.8,0.4,1.1,39.0,0.0,0.1,37.5,0.0,0.1,14.3,20.7,63.0,36.9,3.0,2.86,1.6,0.329,6.9,2.7,7.7,0.673,0.609,0.885
81,dillon brooks,MEM,27,0.223,0.083,0.212,39.4,0.03,0.093,32.4,0.026,0.033,78.4,0.009,0.042,0.052,0.041,0.022,0.014,0.003,0.051,0.375,0,0,0.046,1.6,3.0,55.7,0.6,1.8,35.2,0.8,1.7,46.2,0.3,0.9,29.7,0.7,2.1,33.8,1.3,4.1,32.0,14.2,41.0,26.5,1.8,2.69,1.8,0.348,0.4,0.2,0.8,0.733,0.667,0.906
82,kendrick nunn,WAS,27,0.231,0.09,0.212,42.4,0.037,0.107,34.7,0.015,0.017,84.8,0.006,0.043,0.05,0.039,0.031,0.013,0.002,0.031,0.365,0,0,-0.012,0.8,1.3,60.0,0.2,0.6,31.6,0.3,0.6,51.4,0.3,0.5,50.0,0.4,1.2,34.7,0.7,2.0,34.9,6.6,18.8,10.6,1.2,3.84,3.34,0.349,0.2,0.0,0.4,0.667,0.0,1.037
83,norman powell,LAC,29,0.301,0.1,0.211,47.5,0.036,0.089,40.6,0.064,0.08,80.7,0.007,0.046,0.053,0.032,0.032,0.014,0.005,0.037,0.441,0,0,-0.043,2.4,3.9,61.2,0.5,1.1,40.6,0.3,0.8,42.2,0.2,0.6,42.4,1.0,2.3,44.7,1.0,2.7,37.2,16.5,35.7,23.2,1.8,3.04,2.59,0.462,0.4,0.1,0.6,0.455,0.0,0.889
84,gary trent jr,TOR,24,0.26,0.092,0.211,43.4,0.038,0.102,37.1,0.039,0.046,83.8,0.007,0.032,0.039,0.023,0.012,0.024,0.003,0.023,0.411,0,0,-0.011,1.5,2.3,64.4,0.6,1.3,44.3,0.6,1.4,43.7,0.8,1.8,44.3,0.9,2.7,35.3,1.8,4.9,37.2,17.7,39.2,30.5,1.6,2.44,1.88,0.452,0.4,0.0,0.6,1.08,0.0,1.026
85,dalano banton,TOR,23,0.224,0.086,0.211,40.7,0.024,0.086,28.3,0.028,0.036,78.9,0.017,0.052,0.069,0.054,0.03,0.024,0.022,0.058,0.499,0,0,-0.086,1.0,1.4,73.7,0.1,0.4,16.7,0.1,0.3,25.0,0.0,0.2,20.0,0.1,0.6,17.6,0.3,1.0,33.3,4.4,20.8,9.6,1.3,3.81,2.89,0.214,0.1,0.0,0.7,1.0,0.0,1.3
86,tyrese haliburton,IND,23,0.291,0.103,0.211,49.0,0.04,0.101,40.0,0.044,0.05,87.1,0.008,0.043,0.051,0.147,0.035,0.023,0.006,0.017,0.625,32,0,-0.009,2.9,4.4,65.0,0.7,1.3,50.0,0.5,1.3,42.9,0.3,0.8,45.2,0.6,1.3,49.3,2.1,5.4,39.7,20.7,94.2,32.5,7.5,4.76,4.27,0.22,0.3,0.0,0.4,0.714,0.0,0.636
87,jaren jackson jr,MEM,23,0.297,0.106,0.211,50.3,0.025,0.073,34.6,0.059,0.076,78.0,0.028,0.084,0.112,0.015,0.027,0.017,0.05,0.059,0.628,7,0,0.094,3.7,5.5,66.2,1.1,2.5,46.3,0.1,0.3,30.0,0.0,0.0,50.0,0.6,1.8,35.5,0.9,2.6,34.6,17.8,40.6,23.7,1.3,1.98,0.98,0.437,1.4,2.7,4.0,0.788,0.806,1.194
88,nikola jokic,DEN,28,0.351,0.134,0.211,63.4,0.012,0.031,39.0,0.071,0.087,82.3,0.035,0.133,0.168,0.14,0.049,0.017,0.009,0.036,0.792,56,29,0.14,5.3,7.3,72.7,2.3,3.5,64.1,0.6,1.1,51.4,0.4,0.7,61.2,0.1,0.4,32.0,0.8,1.9,42.1,24.9,99.1,52.5,4.4,2.69,1.43,0.251,9.8,9.3,7.9,0.565,0.55,1.075
89,kevin porter jr,HOU,22,0.267,0.093,0.211,44.1,0.033,0.091,36.3,0.048,0.062,78.4,0.018,0.057,0.076,0.08,0.045,0.019,0.004,0.036,0.503,9,1,-0.09,2.3,3.9,59.1,0.6,1.7,33.7,0.7,1.5,47.1,0.5,1.2,44.9,0.7,1.4,50.0,1.8,5.1,34.2,19.0,79.4,35.1,6.9,5.19,4.79,0.239,0.7,0.1,1.7,0.308,0.571,0.691
90,trevor keels,NYK,19,0.158,0.053,0.211,25.0,0.053,0.211,25.0,0.0,0.0,0.0,0.0,0.105,0.105,0.0,0.0,0.0,0.0,0.0,0.284,0,0,-0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.3,0.3,100,0.0,1.0,0.0,1.0,2.7,2.0,0.2,4.21,1.63,0.375,0.0,0.0,0.0,0.0,0.0,0.0
91,luka garza,MIN,24,0.335,0.115,0.21,55.0,0.026,0.072,36.8,0.078,0.098,78.8,0.059,0.055,0.113,0.034,0.026,0.006,0.004,0.079,0.524,0,0,0.045,1.3,1.7,76.1,0.3,0.8,42.1,0.2,0.3,66.7,0.0,0.1,0.0,0.1,0.2,40.0,0.5,1.3,36.4,6.8,15.7,10.1,0.4,1.57,0.63,0.433,0.8,0.7,2.5,0.2,1.059,1.234
92,jonathan isaac,ORL,25,0.216,0.086,0.208,41.5,0.024,0.059,40.0,0.02,0.035,55.6,0.059,0.114,0.173,0.024,0.016,0.055,0.016,0.02,0.654,0,0,-0.075,0.9,1.9,47.6,0.1,0.5,16.7,0.3,0.5,50.0,0.1,0.3,33.3,0.5,0.7,62.5,0.2,0.8,22.2,5.0,19.5,10.0,0.6,1.69,0.7,0.256,0.7,0.7,2.4,0.25,0.5,0.808
93,andrew wiggins,GSW,28,0.247,0.097,0.206,47.3,0.035,0.088,39.6,0.017,0.028,61.1,0.024,0.049,0.073,0.033,0.019,0.018,0.011,0.042,0.45,3,0,0.046,2.4,3.4,69.3,1.0,2.3,42.4,0.4,0.9,37.1,0.5,1.2,40.0,0.8,2.2,37.3,1.7,4.2,41.6,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
94,jimmy butler,MIA,33,0.337,0.11,0.206,53.4,0.008,0.024,35.0,0.109,0.128,85.1,0.034,0.053,0.087,0.078,0.024,0.027,0.005,0.019,0.63,11,0,0.008,4.2,6.6,63.7,1.3,2.8,47.4,1.0,1.9,51.7,0.3,0.9,36.8,0.3,1.1,28.4,0.3,0.6,44.7,22.8,63.0,37.2,4.6,4.38,3.21,0.362,1.9,2.7,5.9,0.5,0.497,0.872
95,bobby portis,MIL,28,0.248,0.101,0.204,49.5,0.022,0.064,34.5,0.024,0.031,78.1,0.04,0.132,0.173,0.027,0.021,0.007,0.004,0.03,0.509,36,0,0.006,2.1,3.4,63.5,1.0,1.7,55.8,0.6,1.4,42.1,0.6,1.1,53.4,0.4,1.5,25.5,0.9,2.1,43.2,13.7,49.2,24.8,1.4,1.76,0.74,0.279,1.4,3.0,4.3,0.62,0.619,0.908
96,mikal bridges,BKN,26,0.273,0.097,0.204,47.5,0.028,0.071,39.9,0.051,0.057,90.1,0.013,0.047,0.06,0.045,0.021,0.015,0.01,0.026,0.467,2,0,0.001,2.1,3.2,65.2,0.9,2.0,46.2,1.4,3.1,45.7,0.6,1.4,44.5,1.5,3.3,44.1,0.7,2.1,32.5,20.1,51.3,31.4,2.3,2.71,2.1,0.392,1.3,0.6,1.6,0.663,0.605,0.827
97,karl anthony towns,MIN,27,0.287,0.1,0.204,49.1,0.028,0.08,35.4,0.059,0.067,87.8,0.024,0.087,0.112,0.068,0.044,0.011,0.008,0.055,0.534,8,0,0.001,2.9,4.0,72.8,1.3,3.0,44.3,0.2,0.6,37.5,0.3,0.5,50.0,0.8,2.3,36.7,1.5,3.9,38.2,20.8,61.1,43.2,2.2,2.2,0.8,0.341,1.7,3.5,2.3,0.884,0.375,1.155
98,franz wagner,ORL,21,0.271,0.099,0.203,48.8,0.024,0.066,36.4,0.049,0.058,83.8,0.012,0.046,0.059,0.052,0.03,0.014,0.003,0.033,0.441,2,0,0.011,3.8,6.0,63.9,0.8,2.1,36.0,0.4,0.8,43.5,0.2,0.4,44.8,0.5,1.3,39.6,1.2,3.3,36.2,18.8,53.8,32.5,3.3,3.64,3.01,0.35,0.7,0.3,1.9,0.755,0.731,0.952
99,jaden ivey,DET,21,0.246,0.083,0.202,41.2,0.024,0.072,33.7,0.056,0.075,74.3,0.015,0.045,0.06,0.08,0.048,0.013,0.004,0.051,0.439,7,0,-0.129,2.4,4.5,53.1,0.4,1.4,27.6,0.3,0.9,38.1,0.5,1.3,41.1,0.4,1.1,39.2,1.2,3.4,34.5,15.8,56.9,22.4,4.7,4.96,4.68,0.278,0.8,0.0,1.4,0.667,0.0,0.722
100,josh christopher,HOU,21,0.23,0.094,0.201,46.5,0.014,0.056,25.0,0.028,0.036,77.8,0.011,0.032,0.043,0.046,0.035,0.02,0.009,0.038,0.4,0,0,-0.164,1.2,1.8,67.3,0.4,0.8,48.9,0.4,0.8,44.9,0.0,0.2,16.7,0.2,0.5,33.3,0.2,1.0,20.7,5.6,18.3,11.3,1.1,3.6,3.41,0.305,0.2,0.0,0.3,0.667,2.0,0.9
101,bennedict mathurin,IND,20,0.273,0.088,0.201,43.6,0.021,0.067,31.9,0.077,0.093,82.5,0.018,0.048,0.066,0.023,0.03,0.01,0.002,0.033,0.394,0,0,-0.033,2.9,5.1,56.0,0.6,1.6,41.4,0.3,0.8,33.3,0.2,0.4,44.4,0.5,1.5,33.9,0.9,2.7,31.3,16.5,41.2,28.1,1.7,2.49,1.69,0.401,1.1,0.1,1.7,0.877,0.3,1.055
102,keon johnson,POR,21,0.213,0.076,0.201,37.6,0.032,0.091,34.6,0.03,0.046,65.9,0.012,0.037,0.05,0.067,0.048,0.021,0.007,0.048,0.408,0,0,-0.172,0.7,1.2,59.6,0.1,0.7,20.0,0.1,0.4,27.3,0.1,0.3,20.0,0.3,1.0,25.0,0.5,1.2,41.7,4.7,21.3,8.8,1.9,5.33,4.82,0.222,0.2,0.0,0.4,0.0,0.0,0.313
103,jonas valanciunas,NOP,30,0.276,0.111,0.2,55.2,0.009,0.027,34.9,0.046,0.055,82.4,0.056,0.139,0.195,0.034,0.039,0.005,0.012,0.059,0.57,42,0,-0.009,3.4,5.0,67.7,1.1,2.2,50.6,0.5,1.2,44.4,0.2,0.6,35.7,0.1,0.3,24.0,0.4,1.1,37.8,14.4,50.6,31.1,1.5,1.81,0.58,0.284,3.0,4.9,6.7,0.559,0.624,1.13
104,nikola vucevic,CHI,32,0.253,0.104,0.2,52.1,0.022,0.062,35.4,0.022,0.027,82.4,0.028,0.13,0.159,0.047,0.025,0.01,0.01,0.032,0.551,48,1,0.001,2.9,4.3,68.8,1.6,2.6,61.0,0.6,1.4,44.1,0.6,1.2,48.9,0.5,1.3,35.6,1.1,3.2,34.4,17.8,66.8,45.5,1.6,1.46,0.49,0.266,3.9,5.5,6.1,0.593,0.513,1.006
105,dereon seabron,NOP,22,0.16,0.08,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.208,0,0,0.4,0.4,0.6,66.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.8,1.6,0.2,3.24,2.57,0.286,0.0,0.0,0.2,0.0,0.0,2.0
