, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Lester Quinones,GSW,22,1,1,0,0.5,0,0,0.667,0,0,0.333,0,0,0,0,0,0.333,0.333,0,0,0,0,0,0.4,0,0,-0.333
1,2,Frank Jackson,UTA,24,1,0,1,0.6,0,0,0.333,0,0,0.111,0,0,0,0,0.111,0.111,0.222,0.111,0,0,0,0,0.433,0,0,-0.222
2,3,Duane Washington Jr.,NYK,23,31,17,14,0.5,0.292,0.112,0.306,36.7,0.048,0.133,36,0.019,0.029,66.7,0.002,0.041,0.043,0.075,0.041,0.007,0.005,0.027,0.451,0,0,-0.007
3,4,Luka Doncic,DAL,24,64,32,32,0.5,0.44,0.148,0.298,49.8,0.038,0.11,34.7,0.105,0.142,74.2,0.011,0.105,0.116,0.109,0.049,0.019,0.007,0.034,0.77,35,10,0.023
4,5,Ja Morant,MEM,23,59,38,21,0.5,0.387,0.137,0.295,46.3,0.022,0.073,30.7,0.091,0.121,75.2,0.015,0.07,0.086,0.118,0.05,0.016,0.004,0.025,0.677,20,7,0.067
5,6,Tyler Dorsey,DAL,27,3,2,1,0.5,0.529,0.235,0.294,80,0.059,0.118,50,0,0,0,0.059,0.059,0.118,0,0,0,0,0,0.671,0,0,0.118
6,7,Giannis Antetokounmpo,MIL,28,61,45,16,0.5,0.447,0.161,0.293,55,0.011,0.04,27.6,0.113,0.175,64.8,0.032,0.137,0.169,0.081,0.055,0.012,0.011,0.045,0.784,44,5,0.071
7,8,LeBron James,LAL,38,51,27,24,0.5,0.376,0.144,0.289,49.9,0.026,0.087,30.3,0.061,0.08,76.6,0.016,0.094,0.111,0.09,0.041,0.012,0.007,0.022,0.661,18,2,0.051
8,9,Joel Embiid,PHI,29,63,42,21,0.5,0.468,0.155,0.284,54.4,0.014,0.043,33.7,0.144,0.168,85.7,0.025,0.12,0.144,0.059,0.049,0.015,0.024,0.044,0.797,38,1,0.096
9,10,Donovan Mitchell,CLE,26,66,42,24,0.5,0.386,0.136,0.284,48,0.05,0.13,38.4,0.063,0.073,87,0.013,0.045,0.058,0.062,0.036,0.02,0.005,0.034,0.59,5,0,0.066
10,11,Devin Booker,PHX,26,51,32,19,0.5,0.391,0.141,0.283,49.8,0.03,0.082,35.9,0.08,0.094,85.1,0.013,0.051,0.063,0.077,0.039,0.013,0.005,0.042,0.598,5,0,0.063
11,12,Jayson Tatum,BOS,25,72,51,21,0.5,0.393,0.128,0.275,46.7,0.043,0.121,35.4,0.094,0.109,85.7,0.014,0.101,0.115,0.06,0.037,0.013,0.009,0.028,0.651,31,1,0.083
12,13,Damian Lillard,POR,32,58,27,31,0.5,0.426,0.127,0.274,46.3,0.056,0.15,37.1,0.116,0.127,91.4,0.01,0.053,0.063,0.097,0.044,0.011,0.004,0.025,0.65,16,2,0.024
13,14,Jaylen Brown,BOS,26,66,45,21,0.5,0.355,0.135,0.274,49.3,0.033,0.097,33.9,0.053,0.069,76.9,0.016,0.075,0.091,0.046,0.039,0.015,0.005,0.035,0.555,12,0,0.051
14,15,Brandon Ingram,NOP,25,41,21,20,0.5,0.356,0.13,0.269,48.5,0.022,0.054,40.1,0.074,0.084,88.2,0.006,0.07,0.076,0.081,0.045,0.009,0.006,0.037,0.567,4,2,0.031
15,16,Shai Gilgeous-Alexander,OKC,24,66,32,34,0.5,0.412,0.136,0.266,51,0.011,0.031,34.6,0.129,0.142,90.8,0.011,0.052,0.063,0.071,0.037,0.022,0.013,0.036,0.66,3,0,0.03
16,17,Stephen Curry,GSW,35,52,27,25,0.5,0.389,0.132,0.265,49.8,0.065,0.15,43.2,0.06,0.066,91.2,0.009,0.072,0.081,0.083,0.043,0.012,0.004,0.028,0.618,12,1,0.05
17,18,Cade Cunningham,DET,21,12,3,9,0.5,0.281,0.109,0.264,41.5,0.02,0.072,27.9,0.042,0.051,83.7,0.014,0.073,0.087,0.085,0.046,0.012,0.008,0.04,0.527,3,0,-0.071
18,19,LaMelo Ball,CHA,21,36,13,23,0.5,0.305,0.108,0.262,41.1,0.052,0.139,37.6,0.037,0.044,84.3,0.015,0.069,0.084,0.111,0.047,0.017,0.004,0.043,0.587,17,3,-0.055
19,20,Kyrie Irving,DAL,31,59,31,28,0.5,0.353,0.129,0.262,49.3,0.04,0.108,37.4,0.055,0.06,90.4,0.013,0.053,0.067,0.072,0.028,0.014,0.01,0.036,0.585,5,0,0.047
20,21,Bones Hyland,LAC,22,53,33,20,0.5,0.296,0.102,0.257,39.9,0.053,0.141,37.6,0.038,0.046,84.4,0.009,0.049,0.058,0.077,0.037,0.018,0.007,0.043,0.518,1,0,-0.07
21,22,Bradley Beal,WAS,29,50,24,26,0.5,0.339,0.13,0.257,50.6,0.023,0.064,36.5,0.056,0.067,84.2,0.012,0.045,0.057,0.079,0.042,0.013,0.01,0.031,0.553,2,0,0.012
22,23,Julius Randle,NYK,28,77,44,33,0.5,0.347,0.118,0.256,45.9,0.039,0.114,34.3,0.072,0.095,75.7,0.025,0.112,0.137,0.057,0.039,0.009,0.004,0.042,0.595,40,0,0.03
23,24,Trae Young,ATL,24,71,37,34,0.5,0.348,0.11,0.255,42.9,0.028,0.084,33.8,0.101,0.113,88.6,0.01,0.029,0.04,0.132,0.054,0.014,0.002,0.019,0.587,38,0,0.014
24,25,Kenneth Lofton Jr.,MEM,20,20,13,7,0.5,0.3,0.123,0.255,48.2,0.023,0.055,41.7,0.032,0.059,53.8,0.045,0.091,0.136,0.077,0.036,0.014,0.009,0.091,0.611,0,0,-0.159
25,26,Anthony Edwards,MIN,21,76,37,39,0.5,0.32,0.117,0.254,46,0.035,0.095,36.8,0.052,0.068,75.9,0.007,0.068,0.075,0.058,0.043,0.02,0.009,0.031,0.543,8,0,0.013
26,27,Keldon Johnson,SAS,23,62,16,46,0.5,0.316,0.115,0.253,45.3,0.031,0.093,33.3,0.056,0.075,74.7,0.013,0.06,0.073,0.042,0.031,0.01,0.003,0.029,0.474,5,0,-0.114
27,28,Paul George,LAC,32,56,32,24,0.5,0.335,0.115,0.253,45.7,0.04,0.107,37.1,0.064,0.074,87.1,0.011,0.075,0.086,0.072,0.044,0.021,0.005,0.04,0.58,8,1,0.039
28,29,Terry Rozier,CHA,29,63,19,44,0.5,0.282,0.105,0.252,41.5,0.035,0.107,32.7,0.038,0.047,80.9,0.011,0.044,0.055,0.068,0.028,0.016,0.003,0.025,0.478,1,0,-0.061
29,30,Klay Thompson,GSW,33,66,36,30,0.5,0.303,0.11,0.252,43.6,0.06,0.147,40.9,0.024,0.027,87.5,0.008,0.05,0.058,0.033,0.025,0.01,0.006,0.026,0.445,2,0,0.023
30,31,Kevin Durant,PHX,34,45,32,13,0.5,0.399,0.141,0.251,56.4,0.026,0.065,39.4,0.09,0.097,92.8,0.005,0.086,0.091,0.069,0.045,0.01,0.02,0.03,0.656,5,1,0.072
31,32,De'Aaron Fox,SAC,25,70,43,27,0.5,0.348,0.129,0.251,51.6,0.023,0.069,32.7,0.066,0.085,77.7,0.007,0.051,0.058,0.084,0.035,0.016,0.004,0.034,0.57,11,0,0.027
32,33,Kelly Oubre Jr.,CHA,27,48,16,32,0.5,0.297,0.108,0.25,43.1,0.033,0.104,31.9,0.048,0.064,76,0.02,0.056,0.076,0.016,0.02,0.021,0.005,0.043,0.472,3,0,-0.085
33,34,Stanley Umude,DET,23,1,0,1,0.5,0.5,0,0.25,0,0,0.25,0,0.5,0.5,100,0,0,0,0,0,0.25,0.25,0,2,0,0,0.75
34,35,Jalen Green,HOU,21,73,17,56,0.5,0.308,0.103,0.248,41.6,0.034,0.102,33.5,0.067,0.086,78.6,0.008,0.044,0.052,0.051,0.037,0.011,0.003,0.025,0.452,0,0,-0.091
35,36,Jordan Clarkson,UTA,30,61,30,31,0.5,0.305,0.11,0.248,44.4,0.037,0.11,33.8,0.048,0.059,81.6,0.017,0.042,0.059,0.065,0.045,0.008,0.003,0.029,0.462,3,0,0.008
36,37,CJ McCollum,NOP,31,71,36,35,0.5,0.286,0.107,0.246,43.6,0.039,0.1,39,0.033,0.042,78.7,0.01,0.048,0.059,0.08,0.034,0.013,0.007,0.028,0.503,5,0,0.011
37,38,Jalen Brunson,NYK,26,68,40,28,0.5,0.336,0.121,0.246,49.1,0.028,0.066,41.6,0.067,0.081,82.9,0.008,0.041,0.05,0.087,0.029,0.013,0.003,0.031,0.543,5,0,0.031
38,39,Kyle Kuzma,WAS,27,64,29,35,0.5,0.29,0.109,0.244,44.8,0.034,0.103,33.3,0.037,0.051,73,0.012,0.087,0.099,0.051,0.041,0.008,0.006,0.031,0.486,14,1,0.002
39,40,Kawhi Leonard,LAC,31,49,30,19,0.5,0.346,0.125,0.243,51.3,0.029,0.069,41.8,0.068,0.077,87.3,0.016,0.075,0.092,0.057,0.024,0.021,0.008,0.023,0.605,3,0,0.065
40,41,Pascal Siakam,TOR,29,68,34,34,0.5,0.316,0.116,0.242,47.7,0.018,0.054,32.7,0.067,0.088,76.8,0.024,0.077,0.101,0.078,0.032,0.011,0.007,0.042,0.575,22,2,0.026
41,42,Anthony Davis,LAL,30,52,28,24,0.5,0.368,0.138,0.241,57.1,0.005,0.019,26.4,0.088,0.111,78.8,0.048,0.123,0.171,0.035,0.031,0.014,0.027,0.037,0.72,36,0,0.044
42,43,Zach LaVine,CHI,28,74,37,37,0.5,0.334,0.117,0.24,48.8,0.036,0.094,38.4,0.064,0.075,84.9,0.008,0.053,0.06,0.056,0.034,0.012,0.003,0.028,0.502,2,0,0.007
43,44,Lauri Markkanen,UTA,25,66,32,34,0.5,0.354,0.12,0.239,49.9,0.042,0.107,39.2,0.073,0.084,87.5,0.027,0.092,0.119,0.026,0.027,0.009,0.008,0.029,0.559,28,0,0.034
44,45,Jordan Poole,GSW,23,78,41,37,0.5,0.31,0.102,0.238,43,0.04,0.118,33.6,0.066,0.075,87.1,0.006,0.035,0.041,0.069,0.047,0.012,0.004,0.039,0.464,1,0,-0.006
45,46,Desmond Bane,MEM,24,55,36,19,0.5,0.316,0.114,0.237,47.9,0.042,0.101,41,0.047,0.053,88.9,0.01,0.063,0.073,0.064,0.033,0.015,0.006,0.037,0.528,1,0,0.092
46,47,Jamal Murray,DEN,26,62,42,20,0.5,0.295,0.107,0.237,45.3,0.039,0.097,40,0.041,0.05,82.9,0.011,0.048,0.059,0.09,0.033,0.015,0.003,0.023,0.522,5,1,0.067
47,48,DeMar DeRozan,CHI,33,71,36,35,0.5,0.33,0.119,0.234,50.8,0.008,0.025,33.1,0.083,0.096,87,0.006,0.056,0.062,0.068,0.028,0.015,0.007,0.033,0.543,6,0,0.02
48,49,Tyler Herro,MIA,23,64,34,30,0.5,0.283,0.103,0.234,43.9,0.043,0.113,37.6,0.036,0.038,93.1,0.006,0.07,0.076,0.059,0.034,0.011,0.003,0.022,0.472,6,1,0.028
49,50,Devin Vassell,SAS,22,38,12,26,0.5,0.276,0.103,0.234,43.9,0.04,0.104,38.7,0.031,0.039,78,0.003,0.055,0.058,0.053,0.022,0.017,0.007,0.022,0.474,0,0,-0.116
50,51,Dejounte Murray,ATL,26,71,36,35,0.5,0.267,0.107,0.233,46,0.024,0.069,34.8,0.028,0.034,82.6,0.009,0.06,0.069,0.079,0.028,0.02,0.003,0.019,0.51,8,1,-0.014
51,52,Anfernee Simons,POR,23,62,27,35,0.5,0.291,0.104,0.233,44.7,0.047,0.125,37.7,0.036,0.04,89.4,0.004,0.032,0.036,0.056,0.029,0.009,0.003,0.032,0.428,0,0,-0.017
52,53,Kristaps Porzingis,WAS,27,65,27,38,0.5,0.343,0.116,0.232,49.8,0.031,0.081,38.5,0.081,0.095,85.1,0.026,0.098,0.124,0.04,0.031,0.013,0.023,0.045,0.629,20,0,0.018
53,54,Zion Williamson,NOP,22,29,17,12,0.5,0.371,0.14,0.231,60.8,0.003,0.009,36.8,0.087,0.122,71.4,0.029,0.071,0.099,0.065,0.049,0.016,0.008,0.032,0.611,5,0,0.073
54,55,Brandon Boston Jr.,LAC,21,21,8,13,0.5,0.273,0.097,0.231,42.1,0.023,0.055,41.4,0.055,0.073,76.3,0.013,0.042,0.055,0.036,0.023,0.017,0,0.04,0.422,0,0,-0.08
55,56,Khris Middleton,MIL,31,31,23,8,0.5,0.283,0.101,0.231,44,0.028,0.091,31.4,0.052,0.058,89.8,0.017,0.064,0.081,0.091,0.041,0.014,0.003,0.039,0.526,4,0,0.069
56,57,RJ Barrett,NYK,22,71,40,31,0.5,0.28,0.1,0.23,43.3,0.024,0.076,31.7,0.057,0.076,74.3,0.012,0.061,0.073,0.039,0.033,0.006,0.003,0.035,0.42,3,0,-0.011
57,58,Ron Harper Jr.,TOR,22,6,4,2,0.5,0.286,0.114,0.229,50,0.057,0.143,40,0,0,0,0.057,0.029,0.086,0,0,0,0,0,0.389,0,0,0.143
58,58,Xavier Moon,LAC,28,3,1,2,0.5,0.143,0.057,0.229,25,0.029,0.086,33.3,0,0,0,0,0.086,0.086,0.143,0.029,0,0,0.029,0.431,0,0,0.143
59,60,Jaylen Nowell,MIN,23,65,34,31,0.5,0.257,0.102,0.228,44.8,0.024,0.085,28.9,0.028,0.036,77.8,0.013,0.049,0.062,0.048,0.024,0.015,0.002,0.037,0.432,0,0,-0.003
60,61,Darius Garland,CLE,23,67,38,29,0.5,0.303,0.106,0.227,46.5,0.035,0.084,41,0.057,0.066,86.1,0.006,0.032,0.037,0.109,0.04,0.017,0.002,0.03,0.527,17,0,0.088
61,62,Darius Days,HOU,23,4,0,4,0.5,0.283,0.094,0.226,41.7,0.057,0.189,30,0.038,0.038,100,0.019,0.094,0.113,0.019,0,0,0.019,0.038,0.504,0,0,0.019
62,63,Lindell Wigginton,MIL,25,5,4,1,0.5,0.2,0.075,0.225,33.3,0,0.1,0,0.05,0.05,100,0,0.025,0.025,0.05,0.05,0,0,0.05,0.255,0,0,-0.05
63,64,Tyrese Maxey,PHI,22,58,38,20,0.5,0.299,0.108,0.225,48.1,0.039,0.09,42.7,0.044,0.052,84.1,0.006,0.037,0.042,0.053,0.019,0.012,0.002,0.032,0.452,0,0,0.06
64,65,Cam Thomas,BKN,21,55,30,25,0.5,0.294,0.098,0.224,43.5,0.024,0.065,36.3,0.075,0.088,86.1,0.004,0.045,0.049,0.041,0.031,0.01,0.003,0.028,0.423,0,0,0.006
65,66,Jeenathan Williams,POR,24,1,1,0,0.5,0.259,0.111,0.222,50,0.037,0.037,100,0,0,0,0.148,0.037,0.185,0,0.037,0,0,0.111,0.444,0,0,0.185
66,67,Patrick Baldwin Jr.,GSW,20,28,12,16,0.5,0.251,0.088,0.222,39.6,0.066,0.171,38.5,0.009,0.013,66.7,0.002,0.077,0.079,0.02,0.024,0.013,0.009,0.031,0.417,0,0,-0.121
67,68,Cameron Payne,PHX,28,46,26,20,0.5,0.241,0.092,0.221,41.6,0.034,0.091,37.2,0.024,0.031,75.8,0.006,0.046,0.053,0.105,0.04,0.016,0.004,0.043,0.482,3,0,0.034
68,69,Bojan Bogdanovic,DET,33,59,15,44,0.5,0.319,0.108,0.221,48.8,0.036,0.089,41.1,0.067,0.076,88.4,0.009,0.047,0.056,0.038,0.034,0.009,0.002,0.028,0.441,0,0,-0.083
69,70,Paolo Banchero,ORL,20,71,31,40,0.5,0.282,0.094,0.22,42.7,0.017,0.056,29.5,0.078,0.105,73.9,0.016,0.081,0.097,0.053,0.039,0.012,0.008,0.031,0.498,13,0,-0.041
70,71,Josh Giddey,OKC,20,74,33,41,0.5,0.248,0.106,0.22,48.3,0.015,0.045,32.6,0.021,0.028,73.6,0.029,0.089,0.118,0.092,0.042,0.011,0.006,0.028,0.538,28,4,-0.022
71,72,Derrick Rose,NYK,34,27,12,15,0.5,0.209,0.084,0.218,38.4,0.026,0.086,30.2,0.015,0.016,91.7,0.011,0.044,0.055,0.063,0.03,0.01,0.007,0.025,0.388,0,0,-0.04
72,73,Christian Wood,DAL,27,66,32,34,0.5,0.317,0.113,0.217,51.9,0.029,0.078,37.5,0.062,0.081,77.1,0.025,0.116,0.141,0.035,0.035,0.008,0.02,0.048,0.589,12,0,-0.012
73,74,Jrue Holiday,MIL,32,64,47,17,0.5,0.273,0.103,0.217,47.5,0.033,0.088,38.2,0.033,0.039,86.2,0.016,0.055,0.071,0.104,0.041,0.016,0.006,0.025,0.539,14,0,0.095
74,75,JD Davison,BOS,20,10,9,1,0.5,0.183,0.083,0.217,38.5,0.017,0.067,25,0,0,0,0.017,0.083,0.1,0.1,0.033,0.033,0,0.067,0.52,0,0,0.1
75,76,Jaden Hardy,DAL,20,45,19,26,0.5,0.279,0.095,0.217,43.8,0.043,0.103,41.8,0.046,0.056,81.8,0.007,0.052,0.058,0.043,0.033,0.012,0.004,0.046,0.431,0,0,-0.009
76,77,Fred VanVleet,TOR,29,66,33,33,0.5,0.26,0.086,0.215,39.7,0.04,0.117,34.5,0.049,0.054,89.7,0.006,0.049,0.055,0.095,0.027,0.023,0.007,0.037,0.532,10,1,0.038
77,78,Talen Horton-Tucker,UTA,22,64,30,34,0.5,0.245,0.091,0.215,42.2,0.021,0.072,29.1,0.043,0.056,75.5,0.014,0.061,0.075,0.087,0.045,0.014,0.01,0.039,0.494,2,0,-0.002
78,79,Deandre Ayton,PHX,24,65,34,31,0.5,0.288,0.126,0.214,58.6,0.002,0.006,29.2,0.035,0.047,74.9,0.041,0.12,0.161,0.028,0.029,0.009,0.012,0.045,0.557,35,0,-0.003
79,80,Michael Porter Jr.,DEN,24,59,40,19,0.5,0.283,0.104,0.214,48.8,0.049,0.118,41.5,0.025,0.031,80.4,0.016,0.073,0.089,0.017,0.018,0.01,0.008,0.032,0.453,2,0,0.124
80,81,Malik Monk,SAC,25,74,46,28,0.5,0.28,0.096,0.214,44.9,0.039,0.107,36.1,0.05,0.056,89.1,0.009,0.046,0.055,0.08,0.039,0.013,0.006,0.034,0.483,0,0,0.015
81,82,Russell Westbrook,LAC,34,70,33,37,0.5,0.248,0.092,0.213,43.2,0.019,0.062,30.2,0.045,0.068,65.7,0.018,0.074,0.092,0.12,0.056,0.017,0.007,0.036,0.553,23,4,-0.008
82,83,Naz Reid,MIN,23,68,32,36,0.5,0.288,0.114,0.213,53.7,0.028,0.08,34.6,0.032,0.047,67.7,0.027,0.096,0.123,0.028,0.034,0.015,0.02,0.065,0.549,4,0,-0.047
83,84,Malik Beasley,LAL,26,77,42,35,0.5,0.23,0.083,0.212,39.2,0.053,0.149,35.7,0.01,0.013,78.6,0.007,0.056,0.064,0.028,0.021,0.015,0.002,0.024,0.377,1,0,-0.016
84,85,Bam Adebayo,MIA,25,72,37,35,0.5,0.291,0.114,0.212,53.9,0,0.002,8.3,0.062,0.077,80.3,0.034,0.097,0.131,0.046,0.036,0.017,0.012,0.04,0.566,31,0,0.02
85,86,Dillon Brooks,MEM,27,71,45,26,0.5,0.223,0.083,0.212,39.4,0.03,0.093,32.4,0.026,0.033,78.4,0.009,0.042,0.052,0.041,0.022,0.014,0.003,0.051,0.375,0,0,0.046
86,87,Kendrick Nunn,WAS,27,66,29,37,0.5,0.231,0.09,0.212,42.4,0.037,0.107,34.7,0.015,0.017,84.8,0.006,0.043,0.05,0.039,0.031,0.013,0.002,0.031,0.365,0,0,-0.012
87,88,Norman Powell,LAC,29,57,28,29,0.5,0.301,0.1,0.211,47.5,0.036,0.089,40.6,0.064,0.08,80.7,0.007,0.046,0.053,0.032,0.032,0.014,0.005,0.037,0.441,0,0,-0.043
88,89,Gary Trent Jr.,TOR,24,63,30,33,0.5,0.26,0.092,0.211,43.4,0.038,0.102,37.1,0.039,0.046,83.8,0.007,0.032,0.039,0.023,0.012,0.024,0.003,0.023,0.411,0,0,-0.011
89,90,Dalano Banton,TOR,23,28,15,13,0.5,0.224,0.086,0.211,40.7,0.024,0.086,28.3,0.028,0.036,78.9,0.017,0.052,0.069,0.054,0.03,0.024,0.022,0.058,0.499,0,0,-0.086
90,91,Tyrese Haliburton,IND,23,56,28,28,0.5,0.291,0.103,0.211,49,0.04,0.101,40,0.044,0.05,87.1,0.008,0.043,0.051,0.147,0.035,0.023,0.006,0.017,0.625,32,0,-0.009
91,92,Jaren Jackson Jr.,MEM,23,60,39,21,0.5,0.297,0.106,0.211,50.3,0.025,0.073,34.6,0.059,0.076,78,0.028,0.084,0.112,0.015,0.027,0.017,0.05,0.059,0.628,7,0,0.094
92,93,Nikola Jokic,DEN,28,67,48,19,0.5,0.351,0.134,0.211,63.4,0.012,0.031,39,0.071,0.087,82.3,0.035,0.133,0.168,0.14,0.049,0.017,0.009,0.036,0.792,56,29,0.14
93,94,Kevin Porter Jr.,HOU,22,57,16,41,0.5,0.267,0.093,0.211,44.1,0.033,0.091,36.3,0.048,0.062,78.4,0.018,0.057,0.076,0.08,0.045,0.019,0.004,0.036,0.503,9,1,-0.09
94,95,Trevor Keels,NYK,19,3,3,0,0.4,0.158,0.053,0.211,25,0.053,0.211,25,0,0,0,0,0.105,0.105,0,0,0,0,0,0.284,0,0,-0.947
95,96,John Wall,LAC,32,34,15,19,0.5,0.239,0.086,0.21,40.7,0.02,0.068,30.3,0.048,0.07,68.1,0.009,0.048,0.057,0.11,0.05,0.017,0.007,0.037,0.496,1,0,-0.066
96,97,Luka Garza,MIN,24,27,14,13,0.4,0.335,0.115,0.21,55,0.026,0.072,36.8,0.078,0.098,78.8,0.059,0.055,0.113,0.034,0.026,0.006,0.004,0.079,0.524,0,0,0.045
97,98,Jonathan Isaac,ORL,25,11,8,3,0.5,0.216,0.086,0.208,41.5,0.024,0.059,40,0.02,0.035,55.6,0.059,0.114,0.173,0.024,0.016,0.055,0.016,0.02,0.654,0,0,-0.075
98,99,Andrew Wiggins,GSW,28,37,19,18,0.5,0.247,0.097,0.206,47.3,0.035,0.088,39.6,0.017,0.028,61.1,0.024,0.049,0.073,0.033,0.019,0.018,0.011,0.042,0.45,3,0,0.046
99,100,Jimmy Butler,MIA,33,62,33,29,0.5,0.337,0.11,0.206,53.4,0.008,0.024,35,0.109,0.128,85.1,0.034,0.053,0.087,0.078,0.024,0.027,0.005,0.019,0.63,11,0,0.008
100,101,Bobby Portis,MIL,28,66,44,22,0.5,0.248,0.101,0.204,49.5,0.022,0.064,34.5,0.024,0.031,78.1,0.04,0.132,0.173,0.027,0.021,0.007,0.004,0.03,0.509,36,0,0.006
101,102,Mikal Bridges,BKN,26,79,40,39,0.5,0.273,0.097,0.204,47.5,0.028,0.071,39.9,0.051,0.057,90.1,0.013,0.047,0.06,0.045,0.021,0.015,0.01,0.026,0.467,2,0,0.001
102,103,Karl-Anthony Towns,MIN,27,26,12,14,0.5,0.287,0.1,0.204,49.1,0.028,0.08,35.4,0.059,0.067,87.8,0.024,0.087,0.112,0.068,0.044,0.011,0.008,0.055,0.534,8,0,0.001
103,104,Franz Wagner,ORL,21,77,33,44,0.5,0.271,0.099,0.203,48.8,0.024,0.066,36.4,0.049,0.058,83.8,0.012,0.046,0.059,0.052,0.03,0.014,0.003,0.033,0.441,2,0,0.011
104,105,Jaden Ivey,DET,21,70,15,55,0.5,0.246,0.083,0.202,41.2,0.024,0.072,33.7,0.056,0.075,74.3,0.015,0.045,0.06,0.08,0.048,0.013,0.004,0.051,0.439,7,0,-0.129
105,106,Josh Christopher,HOU,21,61,13,48,0.5,0.23,0.094,0.201,46.5,0.014,0.056,25,0.028,0.036,77.8,0.011,0.032,0.043,0.046,0.035,0.02,0.009,0.038,0.4,0,0,-0.164
106,107,Bennedict Mathurin,IND,20,74,32,42,0.5,0.273,0.088,0.201,43.6,0.021,0.067,31.9,0.077,0.093,82.5,0.018,0.048,0.066,0.023,0.03,0.01,0.002,0.033,0.394,0,0,-0.033
107,108,Keon Johnson,POR,21,40,13,27,0.5,0.213,0.076,0.201,37.6,0.032,0.091,34.6,0.03,0.046,65.9,0.012,0.037,0.05,0.067,0.048,0.021,0.007,0.048,0.408,0,0,-0.172
108,109,Jonas Valanciunas,NOP,30,75,38,37,0.5,0.276,0.111,0.2,55.2,0.009,0.027,34.9,0.046,0.055,82.4,0.056,0.139,0.195,0.034,0.039,0.005,0.012,0.059,0.57,42,0,-0.009
109,110,Nikola Vucevic,CHI,32,78,38,40,0.5,0.253,0.104,0.2,52.1,0.022,0.062,35.4,0.022,0.027,82.4,0.028,0.13,0.159,0.047,0.025,0.01,0.01,0.032,0.551,48,1,0.001
110,111,Dereon Seabron,NOP,22,5,2,3,0.5,0.16,0.08,0.2,40,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0.04,0.208,0,0,0.4
111,111,Sam Merrill,CLE,26,3,3,0,0.5,0.1,0.05,0.2,25,0,0.15,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.1,0.235,0,0,-0.45
112,113,Malcolm Brogdon,BOS,30,65,45,20,0.5,0.272,0.096,0.199,48.4,0.036,0.082,43.9,0.044,0.05,87.9,0.011,0.066,0.077,0.069,0.027,0.013,0.005,0.031,0.495,0,0,0.049
113,114,Jaden Springer,PHI,20,14,11,3,0.5,0.207,0.081,0.198,40.9,0,0.018,0,0.045,0.054,83.3,0.045,0.063,0.108,0.045,0.009,0.054,0.018,0.081,0.612,0,0,-0.09
114,115,Tre Mann,OKC,22,64,29,35,0.5,0.201,0.077,0.198,38.7,0.033,0.103,31.7,0.015,0.02,74,0.011,0.048,0.059,0.044,0.023,0.016,0.005,0.04,0.375,0,0,0.018
115,116,PJ Dozier,SAC,26,13,10,3,0.4,0.127,0.056,0.197,28.6,0.014,0.099,14.3,0,0,0,0,0.099,0.099,0.014,0.028,0.042,0.014,0.028,0.407,0,0,-0.07
116,117,Terence Davis,SAC,25,61,37,24,0.5,0.242,0.086,0.197,43.8,0.05,0.131,38.1,0.02,0.024,82.9,0.012,0.069,0.08,0.037,0.029,0.025,0.007,0.058,0.46,0,0,0.049
117,118,Buddy Hield,IND,30,76,34,42,0.5,0.252,0.089,0.197,45.4,0.054,0.128,42.1,0.02,0.024,82,0.013,0.062,0.075,0.042,0.026,0.017,0.005,0.03,0.445,3,0,-0.02
118,119,Jerami Grant,POR,29,63,28,35,0.5,0.278,0.093,0.197,47.5,0.031,0.077,40.1,0.06,0.074,81.3,0.011,0.05,0.061,0.032,0.025,0.011,0.011,0.033,0.442,2,0,-0.008
119,120,James Harden,PHI,33,55,38,17,0.5,0.286,0.087,0.196,44.2,0.038,0.098,38.5,0.075,0.087,86.5,0.01,0.074,0.084,0.146,0.046,0.017,0.007,0.026,0.632,35,5,0.075
120,121,D'Angelo Russell,LAL,27,68,37,31,0.5,0.261,0.092,0.196,46.7,0.04,0.101,39.2,0.038,0.046,83.4,0.007,0.037,0.045,0.091,0.038,0.015,0.006,0.029,0.476,9,0,0.013
121,122,Johnny Juzang,UTA,22,15,5,10,0.5,0.171,0.066,0.196,33.8,0.034,0.132,25.9,0.005,0.01,50,0.01,0.064,0.073,0.017,0.005,0.007,0.007,0.029,0.324,0,0,-0.139
122,123,Cameron Johnson,BKN,27,39,23,16,0.5,0.265,0.09,0.194,46.4,0.043,0.107,39.9,0.042,0.05,83.5,0.013,0.062,0.075,0.032,0.014,0.019,0.006,0.036,0.463,1,0,0.062
123,124,Kemba Walker,DAL,32,9,5,4,0.5,0.245,0.082,0.194,42.1,0.024,0.095,25,0.058,0.071,81,0.01,0.044,0.054,0.065,0.014,0.007,0.007,0.037,0.434,0,0,-0.003
124,125,Tim Hardaway Jr.,DAL,31,70,36,34,0.5,0.232,0.077,0.194,39.9,0.048,0.126,38.2,0.029,0.038,76.5,0.005,0.053,0.057,0.029,0.014,0.011,0.003,0.027,0.373,0,0,0.035
