, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
505,506,Wesley Matthews,MIL,36,47,34,13,0.5,0.099,0.032,0.09,35.7,0.022,0.07,31.3,0.013,0.015,87.5,0.02,0.043,0.063,0.019,0.011,0.012,0.008,0.042,0.251,0,0,0.035
506,507,Thanasis Antetokounmpo,MIL,30,33,23,10,0.5,0.083,0.033,0.09,37,0,0.017,0,0.017,0.04,41.7,0.033,0.07,0.103,0.027,0.037,0.01,0.01,0.056,0.27,0,0,-0.246
507,508,Juancho Hernangomez,TOR,27,42,20,22,0.5,0.096,0.038,0.09,42.1,0.013,0.053,25.4,0.007,0.013,56.3,0.021,0.076,0.097,0.02,0.012,0.013,0.005,0.034,0.282,1,0,0.01
508,509,Maxi Kleber,DAL,31,36,17,19,0.5,0.115,0.04,0.088,45.8,0.021,0.058,35.5,0.014,0.02,70.3,0.016,0.055,0.07,0.026,0.014,0.006,0.016,0.044,0.291,0,0,-0.021
509,510,Alex Caruso,CHI,29,64,31,33,0.5,0.115,0.04,0.088,45.5,0.017,0.046,36.7,0.019,0.023,80.8,0.013,0.047,0.06,0.06,0.023,0.031,0.013,0.048,0.386,1,0,0.064
510,511,Juan Toscano-Anderson,UTA,29,48,18,30,0.5,0.102,0.043,0.087,49.6,0.005,0.024,21.9,0.011,0.014,78.9,0.017,0.065,0.082,0.038,0.023,0.011,0.007,0.053,0.288,0,0,-0.106
511,512,Nerlens Noel,BKN,28,17,4,13,0.5,0.082,0.031,0.085,36.1,0.002,0.005,50,0.019,0.028,66.7,0.023,0.085,0.108,0.023,0.031,0.038,0.023,0.075,0.4,0,0,-0.176
512,513,Mitchell Robinson,NYK,25,57,34,23,0.5,0.134,0.058,0.084,69.3,0,0,0,0.018,0.036,50.5,0.08,0.089,0.169,0.016,0.012,0.017,0.031,0.05,0.495,12,0,0.046
513,514,Usman Garuba,HOU,21,72,18,54,0.5,0.11,0.042,0.084,50.3,0.012,0.027,45.3,0.014,0.023,60.9,0.057,0.09,0.147,0.032,0.023,0.022,0.014,0.064,0.419,0,0,-0.126
514,515,Gary Payton II,GSW,30,18,10,8,0.5,0.126,0.049,0.082,60,0.018,0.034,52.4,0.01,0.011,85.7,0.026,0.055,0.082,0.039,0.021,0.029,0.005,0.052,0.364,0,0,0.023
515,516,Damian Jones,UTA,27,37,11,26,0.5,0.128,0.048,0.082,59.4,0.008,0.015,53.8,0.022,0.03,76,0.043,0.078,0.121,0.014,0.024,0.008,0.024,0.052,0.366,1,0,-0.097
516,517,Mfiondu Kabengele,BOS,25,2,1,1,0.6,0.08,0.04,0.08,50,0,0.04,0,0,0,0,0.12,0.08,0.2,0,0.04,0,0,0.12,0.28,0,0,-0.08
517,518,Shaquille Harrison,POR,29,2,1,1,0.5,0.09,0.034,0.079,42.9,0.022,0.034,66.7,0,0.011,0,0,0.101,0.101,0.112,0.022,0.034,0,0.067,0.458,0,0,-0.079
518,519,Kendall Brown,IND,19,6,1,5,0.4,0.093,0.041,0.072,57.1,0,0.01,0,0.01,0.021,50,0.021,0.041,0.062,0.031,0.021,0.041,0,0.093,0.316,0,0,0.041
519,520,KZ Okpala,SAC,23,35,19,16,0.5,0.085,0.029,0.07,42.1,0.013,0.039,33.3,0.013,0.015,87.5,0.013,0.05,0.063,0.024,0.013,0.013,0.013,0.072,0.26,0,0,-0.02
